Sedan
Hatchback
SUV
Crossover
Coupe
Convertible
Wagon (Estate)
Pickup Truck
Van / Minivan
Jeep / Off-road
MPV (Multi-Purpose Vehicle)
Sports Car
Luxury Car
Electric Vehicle (EV)
Hybrid
